id,name
res_source_select,Select an option 请选项
res_source_buddhist_center,Through Buddhist centres that I usually patronised 从我常去的佛教中心
res_source_friends,Through friends 从朋友
res_source_social_media,Through Social Media platform 从社交媒体平台
res_source_others,Others 其他
